SessionID,Episode,ObjectiveControl,UnitCountDiff,ResourceDiff
session_20250326_204905,261,6,0,-300
session_20250326_204905,262,7,1,-200
session_20250326_204905,263,8,1,-300
session_20250326_204905,264,0,1,-50
session_20250326_204905,265,0,0,0
session_20250326_204905,266,0,0,100
session_20250326_204905,267,0,0,0
session_20250326_204905,268,0,1,-50
session_20250326_204905,269,0,0,0
session_20250326_204905,270,0,0,100
session_20250326_204905,271,0,0,0
session_20250326_204905,272,0,1,-200
session_20250326_204905,273,0,1,-300
session_20250326_204905,274,0,1,-200
session_20250326_204905,275,0,1,-300
session_20250326_204905,276,0,2,-500
session_20250326_204905,277,0,2,-600
session_20250326_204905,278,0,2,-500
session_20250326_204905,279,0,2,-600
session_20250326_204905,280,0,2,-500
session_20250326_204905,281,0,2,-600
session_20250326_204905,282,0,2,-500
session_20250326_204905,283,0,2,-600
session_20250326_204905,284,0,2,-500
session_20250326_204905,285,0,1,-300
session_20250326_204905,286,0,1,-200
session_20250326_204905,287,0,1,-300
session_20250326_204905,288,0,1,-200
session_20250326_204905,289,0,1,-300
session_20250326_204905,290,0,1,-200
session_20250326_204905,291,0,1,-300
session_20250326_204905,292,0,1,-200
session_20250326_204905,293,0,1,-300
session_20250326_204905,294,0,1,-200
session_20250326_204905,295,0,1,-300
session_20250326_204905,296,1,1,-200
session_20250326_204905,297,2,1,-300
session_20250326_204905,298,3,1,-200
session_20250326_204905,299,4,1,-300
session_20250326_204905,300,5,1,-200
session_20250326_204905,301,6,1,-300
session_20250326_204905,302,7,2,-200
session_20250326_204905,303,8,2,-300
session_20250326_204905,304,0,1,-50
session_20250326_204905,305,0,0,0
session_20250326_204905,306,0,0,100
session_20250326_204905,307,0,0,0
session_20250326_204905,308,0,1,-50
session_20250326_204905,309,0,0,0
session_20250326_204905,310,0,0,100
session_20250326_204905,311,0,0,0
session_20250326_204905,312,0,1,-200
session_20250326_204905,313,0,1,-300
session_20250326_204905,314,0,1,-200
session_20250326_204905,315,0,1,-300
session_20250326_204905,316,0,2,-500
session_20250326_204905,317,0,2,-600
session_20250326_204905,318,0,2,-500
session_20250326_204905,319,0,2,-600
session_20250326_204905,320,0,2,-500
session_20250326_204905,321,0,2,-600
session_20250326_204905,322,0,2,-500
session_20250326_204905,323,0,2,-600
session_20250326_204905,324,0,2,-500
session_20250326_204905,325,0,2,-600
session_20250326_204905,326,0,2,-800
session_20250326_204905,327,0,2,-900
session_20250326_204905,328,1,2,-700
session_20250326_204905,329,2,2,-800
session_20250326_204905,330,3,3,-900
session_20250326_204905,331,4,2,-700
session_20250326_204905,332,5,2,-500
session_20250326_204905,333,6,2,-600
session_20250326_204905,334,7,2,-400
session_20250326_204905,335,8,2,-500
session_20250326_204905,336,0,1,-50
session_20250326_204905,337,0,0,0
session_20250326_204905,338,0,0,100
session_20250326_204905,339,0,0,0
session_20250326_204905,340,0,1,-50
session_20250326_204905,341,0,0,0
session_20250326_204905,342,0,0,100
session_20250326_204905,343,0,0,0
session_20250326_204905,344,0,1,-200
session_20250326_204905,345,0,1,-300
session_20250326_204905,346,0,1,-200
session_20250326_204905,347,0,1,-300
session_20250326_204905,348,0,2,-500
session_20250326_204905,349,0,1,-300
session_20250326_204905,350,0,1,-200
session_20250326_204905,351,0,1,-300
session_20250326_204905,352,0,1,-200
session_20250326_204905,353,0,1,-300
session_20250326_204905,354,0,1,-200
session_20250326_204905,355,0,1,-300
session_20250326_204905,356,0,1,-200
session_20250326_204905,357,0,1,-300
session_20250326_204905,358,0,1,-500
session_20250326_204905,359,0,1,-600
session_20250326_204905,360,0,1,-400
session_20250326_204905,361,0,1,-500
session_20250326_204905,362,0,2,-600
session_20250326_204905,363,0,2,-700
session_20250326_204905,364,0,2,-500
session_20250326_204905,365,0,2,-600
session_20250326_204905,366,0,2,-400
session_20250326_204905,367,0,2,-500
session_20250326_204905,368,1,2,-300
session_20250326_204905,369,2,2,-400
session_20250326_204905,370,3,2,-200
session_20250326_204905,371,4,2,-300
session_20250326_204905,372,5,2,-100
session_20250326_204905,373,6,2,-200
session_20250326_204905,374,7,3,0
session_20250326_204905,375,8,3,-100
session_20250326_204905,376,0,1,-50
session_20250326_204905,377,0,0,0
session_20250326_204905,378,0,0,100
session_20250326_204905,379,0,0,0
session_20250326_204905,380,0,1,-50
session_20250326_204905,381,0,0,0
session_20250326_204905,382,0,0,100
session_20250326_204905,383,0,0,0
session_20250326_204905,384,0,1,-200
session_20250326_204905,385,0,1,-300
session_20250326_204905,386,0,1,-200
session_20250326_204905,387,0,1,-300
session_20250326_204905,388,0,2,-500
session_20250326_204905,389,0,2,-600
session_20250326_204905,390,0,2,-500
session_20250326_204905,391,0,1,-300
session_20250326_204905,392,0,1,-200
session_20250326_204905,393,0,1,-300
session_20250326_204905,394,0,1,-200
session_20250326_204905,395,0,1,-300
session_20250326_204905,396,0,1,-200
session_20250326_204905,397,0,1,-300
session_20250326_204905,398,0,1,-500
session_20250326_204905,399,0,1,-600
session_20250326_204905,400,0,1,-400
session_20250326_204905,401,0,1,-500
session_20250326_204905,402,0,1,-300
session_20250326_204905,403,0,1,-400
session_20250326_204905,404,0,1,-200
session_20250326_204905,405,0,1,-300
session_20250326_204905,406,0,1,-100
session_20250326_204905,407,0,1,-200
session_20250326_204905,408,0,1,0
session_20250326_204905,409,0,1,-100
session_20250326_204905,410,0,1,100
session_20250326_204905,411,0,1,0
session_20250326_204905,412,0,1,200
session_20250326_204905,413,0,1,100
session_20250326_204905,414,0,1,300
session_20250326_204905,415,0,1,200
session_20250326_204905,416,0,2,400
session_20250326_204905,417,0,1,-50
session_20250326_204905,418,0,0,0
session_20250326_204905,419,0,0,100
session_20250326_204905,420,0,0,0
session_20250326_204905,421,0,1,-50
session_20250326_204905,422,0,0,0
session_20250326_204905,423,0,0,100
session_20250326_204905,424,0,0,0
session_20250326_204905,425,0,1,-200
session_20250326_204905,426,0,1,-300
session_20250326_204905,427,0,1,-200
session_20250326_204905,428,0,1,-300
session_20250326_204905,429,0,2,-500
session_20250326_204905,430,0,2,-600
session_20250326_204905,431,0,2,-500
session_20250326_204905,432,0,2,-600
session_20250326_204905,433,0,2,-500
session_20250326_204905,434,0,2,-600
session_20250326_204905,435,0,2,-500
session_20250326_204905,436,0,2,-600
session_20250326_204905,437,0,2,-500
session_20250326_204905,438,0,2,-600
session_20250326_204905,439,0,2,-800
session_20250326_204905,440,0,2,-900
session_20250326_204905,441,0,3,-1000
session_20250326_204905,442,0,3,-1100
session_20250326_204905,443,0,3,-900
session_20250326_204905,444,0,2,-700
session_20250326_204905,445,1,2,-500
session_20250326_204905,446,2,2,-600
session_20250326_204905,447,3,2,-400
session_20250326_204905,448,4,2,-500
session_20250326_204905,449,5,3,-300
session_20250326_204905,450,6,3,-400
session_20250326_204905,451,7,3,-200
session_20250326_204905,452,8,2,0
session_20250326_204905,453,0,1,-50
session_20250326_204905,454,0,0,0
session_20250326_204905,455,0,0,100
session_20250326_204905,456,0,0,0
session_20250326_204905,457,0,1,-50
session_20250326_204905,458,0,0,0
session_20250326_204905,459,0,0,100
session_20250326_204905,460,0,0,0
session_20250326_204905,461,0,1,-200
session_20250326_204905,462,0,1,-300
session_20250326_204905,463,0,1,-200
session_20250326_204905,464,0,1,-300
session_20250326_204905,465,0,2,-500
session_20250326_204905,466,0,1,-300
session_20250326_204905,467,0,1,-200
session_20250326_204905,468,0,1,-300
session_20250326_204905,469,0,1,-200
session_20250326_204905,470,0,1,-300
session_20250326_204905,471,0,1,-200
session_20250326_204905,472,0,1,-300
session_20250326_204905,473,0,1,-200
session_20250326_204905,474,0,1,-300
session_20250326_204905,475,0,1,-500
session_20250326_204905,476,0,1,-600
session_20250326_204905,477,0,1,-400
session_20250326_204905,478,0,1,-500
session_20250326_204905,479,0,1,-300
session_20250326_204905,480,0,1,-400
session_20250326_204905,481,0,1,-200
session_20250326_204905,482,0,1,-300
session_20250326_204905,483,0,1,-100
session_20250326_204905,484,0,1,-200
session_20250326_204905,485,0,1,0
session_20250326_204905,486,0,1,-100
session_20250326_204905,487,1,2,-200
session_20250326_204905,488,2,2,-300
session_20250326_204905,489,3,2,-100
session_20250326_204905,490,4,2,-200
session_20250326_204905,491,5,2,0
session_20250326_204905,492,6,2,-100
session_20250326_204905,493,7,2,100
session_20250326_204905,494,8,2,0
session_20250326_204905,495,0,1,-50
session_20250326_204905,496,0,0,0
session_20250326_204905,497,0,0,100
