SessionID,Step,Loss,TDError,AvgQValue
session_20250326_204905,164,,,-4.491977
session_20250326_204905,165,,,-7.790532
session_20250326_204905,166,,,-2.907234
session_20250326_204905,167,,,-8.825408
session_20250326_204905,168,,,-11.27315
session_20250326_204905,169,,,-4.572676
session_20250326_204905,170,,,-6.989791
session_20250326_204905,171,,,-9.261745
session_20250326_204905,172,,,-12.3491
session_20250326_204905,173,,,-11.53553
session_20250326_204905,174,,,-13.85462
session_20250326_204905,175,,,-3.836044
session_20250326_204905,176,,,-3.172862
session_20250326_204905,177,,,-4.414009
session_20250326_204905,178,,,-3.385987
session_20250326_204905,179,,,-5.014244
session_20250326_204905,180,,,-3.405037
session_20250326_204905,181,,,-3.802926
session_20250326_204905,182,,,-2.556156
session_20250326_204905,183,,,0.8591878
session_20250326_204905,184,,,-1.661488
session_20250326_204905,185,,,-2.630776
session_20250326_204905,186,,,0.03162034
session_20250326_204905,187,,,-1.715688
session_20250326_204905,188,,,-2.301418
session_20250326_204905,189,,,-4.083315
session_20250326_204905,190,,,-7.157615
session_20250326_204905,191,,,-7.53116
session_20250326_204905,192,,,-10.62442
session_20250326_204905,193,,,-11.61443
session_20250326_204905,194,,,-10.93222
session_20250326_204905,195,,,-15.56823
session_20250326_204905,196,,,-3.836044
session_20250326_204905,197,,,-3.172862
session_20250326_204905,198,,,-4.414009
session_20250326_204905,199,,,-3.385987
session_20250326_204905,200,,,-5.014244
session_20250326_204905,201,,,-3.121537
session_20250326_204905,202,,,-4.589198
session_20250326_204905,203,,,-4.243906
session_20250326_204905,204,,,-3.108445
session_20250326_204905,205,,,-3.38754
session_20250326_204905,206,,,-8.195417
session_20250326_204905,207,,,-7.226693
session_20250326_204905,208,,,-6.274171
session_20250326_204905,209,,,-7.054007
session_20250326_204905,210,,,-3.22601
session_20250326_204905,211,,,-3.498506
session_20250326_204905,212,,,-7.109699
session_20250326_204905,213,,,-9.12219
session_20250326_204905,214,,,-3.836044
session_20250326_204905,215,,,-4.414009
session_20250326_204905,216,,,-3.385987
session_20250326_204905,217,,,-5.014244
session_20250326_204905,218,,,-3.121537
session_20250326_204905,219,,,-4.586329
session_20250326_204905,220,,,0.6941631
session_20250326_204905,221,,,-7.17976
session_20250326_204905,222,,,-5.297709
session_20250326_204905,223,,,-8.966555
session_20250326_204905,224,,,-4.399238
session_20250326_204905,225,,,-2.078719
session_20250326_204905,226,,,-6.787311
session_20250326_204905,227,,,-5.48507
session_20250326_204905,228,,,-5.534592
session_20250326_204905,229,,,-9.699917
session_20250326_204905,230,,,-10.28543
session_20250326_204905,231,,,-12.40723
session_20250326_204905,232,,,-9.253036
session_20250326_204905,233,,,-11.7708
session_20250326_204905,234,,,-3.836044
session_20250326_204905,235,,,-3.172862
session_20250326_204905,236,,,-4.414009
