SessionID,Game,Win,Turns
session_20250326_204905,145,1,16
session_20250326_204905,146,1,16
session_20250326_204905,147,1,24
session_20250326_204905,148,0,21
session_20250326_204905,149,1,16
session_20250326_204905,150,0,21
session_20250326_204905,151,1,20
session_20250326_204905,152,1,19
session_20250326_204905,153,0,21
session_20250326_204905,154,1,24
session_20250326_204905,155,1,16
session_20250326_204905,156,1,20
session_20250326_204905,157,1,21
session_20250326_204905,158,1,21
session_20250326_204905,159,1,20
session_20250326_204905,160,1,16
session_20250326_204905,161,1,18
session_20250326_204905,162,1,18
session_20250326_204905,163,1,16
session_20250326_204905,164,1,18
session_20250326_204905,165,1,16
session_20250326_204905,166,1,23
session_20250326_204905,167,1,17
session_20250326_204905,168,1,16
session_20250326_204905,169,1,17
session_20250326_204905,170,1,23
session_20250326_204905,171,1,21
session_20250326_204905,172,1,16
session_20250326_204905,173,1,16
session_20250326_204905,174,1,20
session_20250326_204905,175,1,22
session_20250326_204905,176,0,25
session_20250326_204905,177,1,16
session_20250326_204905,178,1,23
session_20250326_204905,179,1,20
session_20250326_204905,180,1,17
session_20250326_204905,181,0,21
session_20250326_204905,182,1,16
session_20250326_204905,183,1,16
session_20250326_204905,184,1,16
session_20250326_204905,185,1,16
session_20250326_204905,186,1,26
session_20250326_204905,187,1,16
session_20250326_204905,188,1,20
session_20250326_204905,189,0,21
session_20250326_204905,190,1,16
session_20250326_204905,191,1,16
session_20250326_204905,192,1,16
session_20250326_204905,193,0,21
session_20250326_204905,194,0,21
session_20250326_204905,195,1,19
session_20250326_204905,196,1,16
session_20250326_204905,197,0,21
session_20250326_204905,198,1,23
session_20250326_204905,199,1,30
session_20250326_204905,200,1,16
session_20250326_204905,201,1,23
session_20250326_204905,202,1,20
session_20250326_204905,203,1,20
session_20250326_204905,204,1,16
session_20250326_204905,205,1,20
session_20250326_204905,206,1,19
session_20250326_204905,207,1,21
session_20250326_204905,208,1,20
session_20250326_204905,209,1,16
session_20250326_204905,210,1,16
session_20250326_204905,211,1,19
session_20250326_204905,212,1,17
session_20250326_204905,213,1,20
session_20250326_204905,214,1,15
session_20250326_204905,215,1,16
session_20250326_204905,216,1,24
session_20250326_204905,217,1,16
session_20250326_204905,218,1,19
session_20250326_204905,219,1,20
session_20250326_204905,220,1,23
session_20250326_204905,221,1,16
session_20250326_204905,222,1,16
session_20250326_204905,223,0,21
session_20250326_204905,224,0,21
session_20250326_204905,225,1,16
session_20250326_204905,226,1,24
session_20250326_204905,227,1,24
session_20250326_204905,228,1,18
session_20250326_204905,229,1,16
session_20250326_204905,230,1,20
session_20250326_204905,231,1,16
session_20250326_204905,232,0,21
session_20250326_204905,233,1,24
session_20250326_204905,234,1,20
session_20250326_204905,235,1,22
session_20250326_204905,236,1,23
session_20250326_204905,237,1,24
session_20250326_204905,238,1,16
session_20250326_204905,239,0,21
session_20250326_204905,240,1,23
session_20250326_204905,241,1,16
session_20250326_204905,242,1,19
session_20250326_204905,243,1,21
session_20250326_204905,244,1,16
session_20250326_204905,245,1,23
session_20250326_204905,246,1,16
session_20250326_204905,247,1,16
session_20250326_204905,248,1,20
session_20250326_204905,249,1,16
session_20250326_204905,250,1,21
session_20250326_204905,251,1,16
session_20250326_204905,252,1,16
session_20250326_204905,253,1,20
session_20250326_204905,254,1,23
session_20250326_204905,255,1,18
session_20250326_204905,256,1,16
session_20250326_204905,257,1,16
session_20250326_204905,258,1,16
session_20250326_204905,259,1,16
session_20250326_204905,260,1,16
session_20250326_204905,261,1,16
session_20250326_204905,262,1,20
session_20250326_204905,263,1,22
session_20250326_204905,264,1,16
session_20250326_204905,265,1,16
session_20250326_204905,266,1,20
session_20250326_204905,267,1,23
session_20250326_204905,268,1,16
session_20250326_204905,269,1,21
session_20250326_204905,270,1,18
session_20250326_204905,271,1,20
session_20250326_204905,272,1,16
session_20250326_204905,273,1,20
session_20250326_204905,274,0,21
session_20250326_204905,275,1,16
session_20250326_204905,276,0,21
session_20250326_204905,277,1,17
session_20250326_204905,278,1,21
session_20250326_204905,279,1,20
session_20250326_204905,280,1,19
session_20250326_204905,281,1,24
session_20250326_204905,282,1,22
session_20250326_204905,283,1,16
session_20250326_204905,284,1,20
session_20250326_204905,285,1,22
session_20250326_204905,286,1,19
session_20250326_204905,287,1,16
session_20250326_204905,288,1,20
session_20250326_204905,289,1,21
session_20250326_204905,290,1,16
session_20250326_204905,291,1,21
session_20250326_204905,292,1,19
session_20250326_204905,293,1,20
session_20250326_204905,294,0,21
session_20250326_204905,295,1,16
session_20250326_204905,296,1,16
