SessionID,ActionType,ActionName,Count,TotalReward,AverageReward
session_20250326_204905,1,Move,473,206.00,0.44
session_20250326_204905,2,Attack,24,10.00,0.42
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,150,36002.00,240.01
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,524,211.00,0.40
session_20250326_204905,2,Attack,29,10.00,0.34
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,160,38424.00,240.15
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,558,229.00,0.41
session_20250326_204905,2,Attack,32,14.00,0.44
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,171,41174.00,240.78
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,590,238.00,0.40
session_20250326_204905,2,Attack,33,16.00,0.48
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,181,43596.00,240.86
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,624,240.00,0.38
session_20250326_204905,2,Attack,34,18.00,0.53
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,194,46608.00,240.25
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,663,259.00,0.39
session_20250326_204905,2,Attack,37,18.00,0.49
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,205,49360.00,240.78
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,704,289.00,0.41
session_20250326_204905,2,Attack,38,18.00,0.47
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,220,52828.00,240.13
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,751,332.00,0.44
session_20250326_204905,2,Attack,41,22.00,0.54
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,236,56624.00,239.93
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,790,342.00,0.43
session_20250326_204905,2,Attack,42,22.00,0.52
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,247,59308.00,240.11
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,815,347.00,0.43
session_20250326_204905,2,Attack,44,22.00,0.50
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,257,61796.00,240.45
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,843,357.00,0.42
session_20250326_204905,2,Attack,45,22.00,0.49
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,265,63826.00,240.85
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,888,357.00,0.40
session_20250326_204905,2,Attack,46,22.00,0.48
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,279,67164.00,240.73
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,938,372.00,0.40
session_20250326_204905,2,Attack,48,22.00,0.46
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,295,71026.00,240.77
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,978,392.00,0.40
session_20250326_204905,2,Attack,48,22.00,0.46
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,308,74036.00,240.38
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1010,392.00,0.39
session_20250326_204905,2,Attack,50,22.00,0.44
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,318,76590.00,240.85
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1040,412.00,0.40
session_20250326_204905,2,Attack,52,22.00,0.42
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,331,79666.00,240.68
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1057,417.00,0.39
session_20250326_204905,2,Attack,55,22.00,0.40
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,338,81368.00,240.73
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1094,422.00,0.39
session_20250326_204905,2,Attack,56,22.00,0.39
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,347,83660.00,241.10
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1142,452.00,0.40
session_20250326_204905,2,Attack,59,22.00,0.37
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,360,86670.00,240.75
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1180,467.00,0.40
session_20250326_204905,2,Attack,60,24.00,0.40
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,369,88830.00,240.73
session_20250326_204905,5,UpgradeBase,0,0.00,0.00
session_20250326_204905,0,Skip/NoAction,0,0.00,0.00
session_20250326_204905,1,Move,1223,477.00,0.39
session_20250326_204905,2,Attack,63,24.00,0.38
session_20250326_204905,3,Capture,0,0.00,0.00
session_20250326_204905,4,SpawnUnit,382,91972.00,240.76
